28.06,-0.22,30.34,-2.32,29.56,-1.34,-2.23,20.5,-2.05,29.74,-2.68,19.43,29.81,29.81,29.81,29.81,29.81,29.81,29.81
21.77,-0.44,21.83,-2.44,21.69,-3.03,-2.16,17.35,-2.38,21.73,-2.57,12.72,21.74,21.74,21.74,21.74,21.74,21.74,21.74
22.65,-0.57,23.13,-2.51,22.92,-2.74,-2.26,18.9,-2.46,22.97,-2.69,11.75,22.99,22.99,22.99,22.99,22.99,22.99,22.99
24.07,-1.15,26.04,-2.87,25.38,-1.85,-2.75,17.78,-2.71,25.52,-3.2,15.67,25.6,25.6,25.6,25.6,25.6,25.6,25.6
20.55,-1.84,23.3,-3.08,22.44,-1.26,-3.08,14.5,-2.88,22.64,-3.46,14.02,22.72,22.72,22.72,22.72,22.72,22.72,22.72
18.59,-1.24,22.5,-3.1,19.08,-3.68,-2.77,12.6,-3.13,20.07,-3.25,12.04,20.55,20.55,20.55,20.55,20.55,20.55,20.55
20.83,-2.39,23.79,-3.66,22.82,-1.72,-3.65,14.99,-3.47,23.05,-4.06,13.7,23.16,23.16,23.16,23.16,23.16,23.16,23.16
22.6,-1.74,24.01,-3.67,23.37,-3.33,-3.47,16.88,-3.54,23.52,-3.92,14.48,23.61,23.61,23.61,23.61,23.61,23.61,23.61
29.67,-3.19,38.76,-3.99,35,1.54,-4.25,21.78,-3.67,35.93,-4.87,19.82,36.44,36.44,36.44,36.44,36.44,36.44,36.44
25.94,-2.46,29.97,-4.2,28.15,-2.29,-4.1,19.3,-4,28.62,-4.64,16.69,28.85,28.85,28.85,28.85,28.85,28.85,28.85
27.52,-2.81,31.23,-4.5,30.11,-1.95,-4.49,20.6,-4.24,30.35,-5.01,17.86,30.48,30.48,30.48,30.48,30.48,30.48,30.48
25.62,-6.64,38.45,-5.3,35,6.15,-6.15,19.12,-4.8,35.76,-6.72,16.14,36.16,36.16,36.16,36.16,36.16,36.16,36.16
28.17,-3.05,33.23,-4.37,31.74,-0.59,-4.48,21.06,-4.05,32.07,-5.01,18.51,32.25,32.25,32.25,32.25,32.25,32.25,32.25
24.29,-2.09,32.39,-3.73,26.9,-2.16,-3.58,15.89,-3.67,28.42,-4.19,16.63,29.19,29.19,29.19,29.19,29.19,29.19,29.19
25.86,-7.24,41.54,-5.84,36.01,6.16,-6.68,17.67,-5.33,37.34,-7.32,17.28,38.06,38.06,38.06,38.06,38.06,38.06,38.06
22.71,-2.87,25.25,-4.57,24.35,-3.16,-4.48,15.7,-4.36,24.56,-4.93,15.96,24.67,24.67,24.67,24.67,24.67,24.67,24.67
19.82,-1.96,24.74,-3.81,20.83,-3.86,-3.52,13.4,-3.81,21.96,-4.03,12.66,22.49,22.49,22.49,22.49,22.49,22.49,22.49
